,Age,Gender,Race
0,18.0,1.0,1.0
1,17.0,1.0,1.0
2,19.0,1.0,1.0
3,17.0,1.0,1.0
4,17.0,1.0,1.0
5,18.0,1.0,1.0
6,18.0,1.0,1.0
7,19.0,1.0,1.0
8,17.0,1.0,1.0
9,17.0,1.0,1.0
10,18.0,1.0,1.0
11,17.0,1.0,1.0
12,18.0,1.0,1.0
13,18.0,1.0,1.0
14,18.0,1.0,1.0
15,18.0,1.0,1.0
16,17.0,1.0,1.0
17,17.0,1.0,1.0
18,18.0,1.0,1.0
19,17.0,1.0,1.0
20,18.0,1.0,1.0
21,18.0,1.0,1.0
22,17.0,1.0,1.0
23,18.0,1.0,1.0
24,19.0,1.0,1.0
25,18.0,1.0,1.0
26,18.0,1.0,1.0
27,19.0,1.0,1.0
28,18.0,1.0,1.0
29,17.0,1.0,1.0
30,18.0,1.0,1.0
31,18.0,1.0,1.0
32,18.0,1.0,1.0
33,18.0,1.0,1.0
34,18.0,1.0,1.0
35,18.0,1.0,1.0
36,18.0,1.0,1.0
37,18.0,1.0,1.0
38,18.0,1.0,1.0
39,17.0,1.0,1.0
40,18.0,1.0,1.0
41,19.0,1.0,1.0
42,18.0,1.0,1.0
43,18.0,1.0,1.0
44,17.0,1.0,1.0
45,18.0,1.0,1.0
46,18.0,1.0,1.0
47,17.0,1.0,1.0
48,18.0,1.0,1.0
49,18.0,1.0,1.0
50,18.0,1.0,1.0
51,18.0,1.0,1.0
52,18.0,1.0,1.0
53,18.0,1.0,1.0
54,18.0,1.0,1.0
55,17.0,1.0,1.0
56,18.0,1.0,1.0
57,19.0,1.0,1.0
58,18.0,1.0,1.0
59,19.0,1.0,1.0
60,18.0,1.0,1.0
61,18.0,1.0,1.0
62,18.0,1.0,1.0
63,18.0,1.0,1.0
64,18.0,1.0,1.0
65,17.0,1.0,1.0
66,17.0,1.0,1.0
67,18.0,1.0,1.0
68,18.0,1.0,1.0
69,18.0,1.0,1.0
70,18.0,1.0,1.0
71,18.0,1.0,1.0
72,17.0,1.0,1.0
73,18.0,1.0,1.0
74,18.0,1.0,1.0
75,19.0,1.0,1.0
76,17.0,1.0,1.0
77,19.0,1.0,1.0
78,17.0,1.0,1.0
79,19.0,1.0,1.0
80,18.0,1.0,1.0
81,17.0,1.0,1.0
82,17.0,1.0,1.0
83,18.0,1.0,1.0
84,17.0,1.0,1.0
85,18.0,1.0,1.0
86,18.0,1.0,1.0
87,17.0,1.0,1.0
88,18.0,1.0,1.0
89,17.0,1.0,1.0
90,18.0,1.0,1.0
91,18.0,1.0,1.0
92,17.0,1.0,1.0
93,18.0,1.0,1.0
94,18.0,1.0,1.0
95,18.0,1.0,1.0
96,18.0,1.0,1.0
97,18.0,1.0,1.0
98,18.0,1.0,1.0
99,18.0,1.0,1.0
100,18.0,1.0,1.0
101,17.0,1.0,1.0
102,18.0,1.0,1.0
103,18.0,1.0,1.0
104,17.0,1.0,1.0
105,17.0,1.0,1.0
106,18.0,1.0,1.0
107,18.0,1.0,1.0
108,18.0,1.0,1.0
109,18.0,1.0,1.0
110,18.0,1.0,1.0
111,18.0,1.0,1.0
112,19.0,1.0,1.0
113,17.0,1.0,1.0
114,17.0,1.0,1.0
115,17.0,1.0,1.0
116,18.0,1.0,1.0
117,18.0,1.0,1.0
118,18.0,1.0,1.0
119,17.0,1.0,1.0
120,18.0,1.0,1.0
121,18.0,1.0,1.0
122,18.0,1.0,1.0
123,17.0,1.0,1.0
124,18.0,1.0,1.0
125,19.0,1.0,1.0
126,18.0,1.0,1.0
127,18.0,1.0,1.0
128,18.0,1.0,1.0
129,17.0,1.0,1.0
130,18.0,1.0,1.0
131,18.0,1.0,1.0
132,17.0,1.0,1.0
133,19.0,1.0,1.0
134,18.0,1.0,1.0
135,17.0,1.0,1.0
136,18.0,1.0,1.0
137,18.0,1.0,1.0
138,18.0,1.0,1.0
139,18.0,1.0,1.0
140,18.0,1.0,1.0
141,17.0,1.0,1.0
142,18.0,1.0,1.0
143,18.0,1.0,1.0
144,18.0,1.0,1.0
145,17.0,1.0,1.0
146,18.0,1.0,1.0
147,17.0,1.0,1.0
148,18.0,1.0,1.0
149,18.0,1.0,1.0
150,19.0,1.0,1.0
151,17.0,1.0,1.0
152,17.0,1.0,1.0
153,18.0,1.0,1.0
154,17.0,1.0,1.0
155,18.0,1.0,1.0
156,18.0,1.0,1.0
157,18.0,1.0,1.0
158,17.0,1.0,1.0
159,18.0,1.0,1.0
160,17.0,1.0,1.0
161,18.0,1.0,1.0
162,17.0,1.0,1.0
163,17.0,1.0,1.0
164,18.0,1.0,1.0
165,19.0,1.0,1.0
166,19.0,1.0,1.0
167,18.0,1.0,1.0
168,18.0,1.0,1.0
169,18.0,1.0,1.0
170,19.0,1.0,1.0
171,17.0,1.0,1.0
172,18.0,1.0,1.0
173,18.0,1.0,1.0
174,18.0,1.0,1.0
175,18.0,1.0,1.0
176,17.0,1.0,1.0
177,18.0,1.0,1.0
178,18.0,1.0,1.0
179,18.0,1.0,1.0
180,18.0,1.0,1.0
181,17.0,1.0,1.0
182,18.0,1.0,1.0
183,18.0,1.0,1.0
184,18.0,1.0,1.0
185,17.0,1.0,1.0
186,17.0,1.0,1.0
187,18.0,1.0,1.0
188,18.0,1.0,1.0
189,18.0,1.0,1.0
190,17.0,1.0,1.0
191,17.0,1.0,1.0
192,17.0,1.0,1.0
193,18.0,1.0,1.0
194,18.0,1.0,1.0
195,18.0,1.0,1.0
196,18.0,1.0,1.0
197,18.0,1.0,1.0
198,17.0,1.0,1.0
199,17.0,1.0,1.0
200,18.0,1.0,1.0
201,19.0,1.0,1.0
202,17.0,1.0,1.0
203,18.0,1.0,1.0
204,18.0,1.0,1.0
205,18.0,1.0,1.0
206,17.0,1.0,1.0
207,18.0,1.0,1.0
208,18.0,1.0,1.0
209,18.0,1.0,1.0
210,18.0,1.0,1.0
211,17.0,1.0,1.0
212,17.0,1.0,1.0
213,18.0,1.0,1.0
214,19.0,1.0,1.0
215,17.0,1.0,1.0
216,18.0,1.0,1.0
217,18.0,1.0,1.0
218,18.0,1.0,1.0
219,17.0,1.0,1.0
220,17.0,1.0,1.0
221,17.0,1.0,1.0
222,19.0,1.0,1.0
223,17.0,1.0,1.0
224,17.0,1.0,1.0
225,19.0,1.0,1.0
226,18.0,1.0,1.0
227,19.0,1.0,1.0
228,18.0,1.0,1.0
229,18.0,1.0,1.0
230,18.0,1.0,1.0
231,18.0,1.0,1.0
232,18.0,1.0,1.0
233,18.0,1.0,1.0
234,17.0,1.0,1.0
235,19.0,1.0,1.0
236,18.0,1.0,1.0
237,18.0,1.0,1.0
238,18.0,1.0,1.0
239,18.0,1.0,1.0
240,17.0,1.0,1.0
241,19.0,1.0,1.0
242,18.0,1.0,1.0
243,18.0,1.0,1.0
244,18.0,1.0,1.0
245,18.0,1.0,1.0
246,18.0,1.0,1.0
247,17.0,1.0,1.0
248,18.0,1.0,1.0
249,17.0,1.0,1.0
250,18.0,1.0,1.0
251,17.0,1.0,1.0
252,18.0,1.0,1.0
253,17.0,1.0,1.0
254,18.0,1.0,1.0
255,19.0,1.0,1.0
256,18.0,1.0,1.0
257,18.0,1.0,1.0
258,19.0,1.0,1.0
259,17.0,1.0,1.0
260,19.0,1.0,1.0
261,17.0,1.0,1.0
262,18.0,1.0,1.0
263,18.0,1.0,1.0
264,18.0,1.0,1.0
265,18.0,1.0,1.0
266,18.0,1.0,1.0
267,17.0,1.0,1.0
268,19.0,1.0,1.0
269,17.0,1.0,1.0
270,18.0,1.0,1.0
271,18.0,1.0,1.0
272,17.0,1.0,1.0
273,17.0,1.0,1.0
274,18.0,1.0,1.0
275,17.0,1.0,1.0
276,18.0,1.0,1.0
277,18.0,1.0,1.0
278,18.0,1.0,1.0
279,18.0,1.0,1.0
280,18.0,1.0,1.0
281,18.0,1.0,1.0
282,18.0,1.0,1.0
283,19.0,1.0,1.0
284,17.0,1.0,1.0
285,18.0,1.0,1.0
286,18.0,1.0,1.0
287,18.0,1.0,1.0
288,18.0,1.0,1.0
