,Age,Gender,Race
0,18.0,1.0,1.0
1,18.0,1.0,1.0
2,17.0,1.0,1.0
3,18.0,1.0,1.0
4,17.0,1.0,1.0
5,19.0,1.0,1.0
6,17.0,1.0,1.0
7,18.0,1.0,1.0
8,18.0,1.0,1.0
9,18.0,1.0,1.0
10,18.0,1.0,1.0
11,17.0,1.0,1.0
12,17.0,1.0,1.0
13,18.0,1.0,1.0
14,17.0,1.0,1.0
15,17.0,1.0,1.0
16,19.0,1.0,1.0
17,18.0,1.0,1.0
18,18.0,1.0,1.0
19,18.0,1.0,1.0
20,19.0,1.0,1.0
21,17.0,1.0,1.0
22,18.0,1.0,1.0
23,17.0,1.0,1.0
24,19.0,1.0,1.0
25,17.0,1.0,1.0
26,18.0,1.0,1.0
27,19.0,1.0,1.0
28,17.0,1.0,1.0
29,18.0,1.0,1.0
30,18.0,1.0,1.0
31,17.0,1.0,1.0
32,18.0,1.0,1.0
33,17.0,1.0,1.0
34,18.0,1.0,1.0
35,17.0,1.0,1.0
36,18.0,1.0,1.0
37,18.0,1.0,1.0
38,18.0,1.0,1.0
39,18.0,1.0,1.0
40,18.0,1.0,1.0
41,18.0,1.0,1.0
42,17.0,1.0,1.0
43,17.0,1.0,1.0
44,18.0,1.0,1.0
45,18.0,1.0,1.0
46,18.0,1.0,1.0
47,17.0,1.0,1.0
48,17.0,1.0,1.0
49,17.0,1.0,1.0
50,18.0,1.0,1.0
51,17.0,1.0,1.0
52,17.0,1.0,1.0
53,17.0,1.0,1.0
54,18.0,1.0,1.0
55,19.0,1.0,1.0
56,17.0,1.0,1.0
57,18.0,1.0,1.0
58,17.0,1.0,1.0
59,19.0,1.0,1.0
60,19.0,1.0,1.0
61,18.0,1.0,1.0
62,19.0,1.0,1.0
63,18.0,1.0,1.0
64,18.0,1.0,1.0
65,17.0,1.0,1.0
66,19.0,1.0,1.0
67,18.0,1.0,1.0
68,18.0,1.0,1.0
69,18.0,1.0,1.0
70,17.0,1.0,1.0
71,18.0,1.0,1.0
72,18.0,1.0,1.0
73,18.0,1.0,1.0
74,17.0,1.0,1.0
75,19.0,1.0,1.0
76,18.0,1.0,1.0
77,18.0,1.0,1.0
78,17.0,1.0,1.0
79,18.0,1.0,1.0
80,18.0,1.0,1.0
81,17.0,1.0,1.0
82,18.0,1.0,1.0
83,18.0,1.0,1.0
84,18.0,1.0,1.0
85,17.0,1.0,1.0
86,19.0,1.0,1.0
87,19.0,1.0,1.0
88,18.0,1.0,1.0
89,17.0,1.0,1.0
90,19.0,1.0,1.0
91,18.0,1.0,1.0
92,19.0,1.0,1.0
93,18.0,1.0,1.0
94,19.0,1.0,1.0
95,18.0,1.0,1.0
96,17.0,1.0,1.0
97,18.0,1.0,1.0
98,18.0,1.0,1.0
99,17.0,1.0,1.0
100,18.0,1.0,1.0
101,18.0,1.0,1.0
102,19.0,1.0,1.0
103,17.0,1.0,1.0
104,18.0,1.0,1.0
105,18.0,1.0,1.0
106,18.0,1.0,1.0
107,18.0,1.0,1.0
108,18.0,1.0,1.0
109,18.0,1.0,1.0
110,17.0,1.0,1.0
111,18.0,1.0,1.0
112,18.0,1.0,1.0
113,17.0,1.0,1.0
114,19.0,1.0,1.0
115,18.0,1.0,1.0
116,17.0,1.0,1.0
117,17.0,1.0,1.0
118,18.0,1.0,1.0
119,18.0,1.0,1.0
120,18.0,1.0,1.0
121,17.0,1.0,1.0
122,18.0,1.0,1.0
123,18.0,1.0,1.0
124,18.0,1.0,1.0
125,18.0,1.0,1.0
126,17.0,1.0,1.0
127,18.0,1.0,1.0
128,18.0,1.0,1.0
129,18.0,1.0,1.0
130,18.0,1.0,1.0
131,18.0,1.0,1.0
132,17.0,1.0,1.0
133,18.0,1.0,1.0
134,18.0,1.0,1.0
135,18.0,1.0,1.0
136,17.0,1.0,1.0
137,17.0,1.0,1.0
138,17.0,1.0,1.0
139,19.0,1.0,1.0
140,18.0,1.0,1.0
141,19.0,1.0,1.0
142,17.0,1.0,1.0
143,18.0,1.0,1.0
144,18.0,1.0,1.0
145,17.0,1.0,1.0
146,18.0,1.0,1.0
147,17.0,1.0,1.0
148,18.0,1.0,1.0
149,18.0,1.0,1.0
150,19.0,1.0,1.0
151,18.0,1.0,1.0
152,19.0,1.0,1.0
153,18.0,1.0,1.0
154,18.0,1.0,1.0
155,17.0,1.0,1.0
156,18.0,1.0,1.0
157,18.0,1.0,1.0
158,18.0,1.0,1.0
159,18.0,1.0,1.0
160,18.0,1.0,1.0
161,18.0,1.0,1.0
162,19.0,1.0,1.0
163,17.0,1.0,1.0
164,18.0,1.0,1.0
165,18.0,1.0,1.0
166,17.0,1.0,1.0
167,17.0,1.0,1.0
168,18.0,1.0,1.0
169,18.0,1.0,1.0
170,18.0,1.0,1.0
171,18.0,1.0,1.0
172,17.0,1.0,1.0
173,19.0,1.0,1.0
174,18.0,1.0,1.0
175,18.0,1.0,1.0
176,18.0,1.0,1.0
177,18.0,1.0,1.0
178,18.0,1.0,1.0
179,17.0,1.0,1.0
180,18.0,1.0,1.0
181,17.0,1.0,1.0
182,19.0,1.0,1.0
183,17.0,1.0,1.0
184,18.0,1.0,1.0
185,18.0,1.0,1.0
186,18.0,1.0,1.0
187,18.0,1.0,1.0
188,18.0,1.0,1.0
189,18.0,1.0,1.0
190,18.0,1.0,1.0
191,17.0,1.0,1.0
192,19.0,1.0,1.0
193,18.0,1.0,1.0
194,18.0,1.0,1.0
195,18.0,1.0,1.0
196,17.0,1.0,1.0
197,17.0,1.0,1.0
198,19.0,1.0,1.0
199,18.0,1.0,1.0
200,18.0,1.0,1.0
201,17.0,1.0,1.0
202,18.0,1.0,1.0
203,17.0,1.0,1.0
204,18.0,1.0,1.0
205,18.0,1.0,1.0
206,17.0,1.0,1.0
207,17.0,1.0,1.0
208,18.0,1.0,1.0
209,18.0,1.0,1.0
210,18.0,1.0,1.0
211,18.0,1.0,1.0
212,18.0,1.0,1.0
213,18.0,1.0,1.0
214,19.0,1.0,1.0
215,18.0,1.0,1.0
216,18.0,1.0,1.0
217,18.0,1.0,1.0
218,18.0,1.0,1.0
219,17.0,1.0,1.0
220,18.0,1.0,1.0
221,18.0,1.0,1.0
222,18.0,1.0,1.0
223,18.0,1.0,1.0
224,19.0,1.0,1.0
225,18.0,1.0,1.0
226,17.0,1.0,1.0
227,17.0,1.0,1.0
228,18.0,1.0,1.0
229,18.0,1.0,1.0
230,18.0,1.0,1.0
231,19.0,1.0,1.0
232,19.0,1.0,1.0
233,18.0,1.0,1.0
234,17.0,1.0,1.0
235,19.0,1.0,1.0
236,18.0,1.0,1.0
237,18.0,1.0,1.0
238,19.0,1.0,1.0
239,17.0,1.0,1.0
240,19.0,1.0,1.0
241,18.0,1.0,1.0
242,18.0,1.0,1.0
243,17.0,1.0,1.0
244,19.0,1.0,1.0
245,19.0,1.0,1.0
246,18.0,1.0,1.0
247,18.0,1.0,1.0
248,17.0,1.0,1.0
249,18.0,1.0,1.0
250,18.0,1.0,1.0
251,19.0,1.0,1.0
252,18.0,1.0,1.0
253,18.0,1.0,1.0
254,18.0,1.0,1.0
255,18.0,1.0,1.0
256,18.0,1.0,1.0
257,17.0,1.0,1.0
258,17.0,1.0,1.0
259,17.0,1.0,1.0
260,19.0,1.0,1.0
261,18.0,1.0,1.0
262,18.0,1.0,1.0
263,17.0,1.0,1.0
264,19.0,1.0,1.0
265,18.0,1.0,1.0
266,18.0,1.0,1.0
267,17.0,1.0,1.0
268,17.0,1.0,1.0
269,18.0,1.0,1.0
270,18.0,1.0,1.0
271,17.0,1.0,1.0
272,18.0,1.0,1.0
273,19.0,1.0,1.0
274,18.0,1.0,1.0
275,17.0,1.0,1.0
276,18.0,1.0,1.0
277,18.0,1.0,1.0
278,18.0,1.0,1.0
279,18.0,1.0,1.0
280,19.0,1.0,1.0
281,18.0,1.0,1.0
282,18.0,1.0,1.0
283,17.0,1.0,1.0
284,17.0,1.0,1.0
285,18.0,1.0,1.0
286,17.0,1.0,1.0
287,18.0,1.0,1.0
288,17.0,1.0,1.0
289,18.0,1.0,1.0
290,17.0,1.0,1.0
291,17.0,1.0,1.0
292,17.0,1.0,1.0
293,19.0,1.0,1.0
294,18.0,1.0,1.0
295,19.0,1.0,1.0
296,19.0,1.0,1.0
297,17.0,1.0,1.0
298,18.0,1.0,1.0
299,17.0,1.0,1.0
300,18.0,1.0,1.0
301,18.0,1.0,1.0
302,17.0,1.0,1.0
303,18.0,1.0,1.0
304,18.0,1.0,1.0
305,18.0,1.0,1.0
306,17.0,1.0,1.0
307,18.0,1.0,1.0
308,19.0,1.0,1.0
309,18.0,1.0,1.0
310,19.0,1.0,1.0
311,19.0,1.0,1.0
312,17.0,1.0,1.0
313,18.0,1.0,1.0
314,17.0,1.0,1.0
315,18.0,1.0,1.0
316,18.0,1.0,1.0
317,18.0,1.0,1.0
318,17.0,1.0,1.0
319,17.0,1.0,1.0
320,18.0,1.0,1.0
321,18.0,1.0,1.0
322,17.0,1.0,1.0
323,18.0,1.0,1.0
324,18.0,1.0,1.0
325,18.0,1.0,1.0
326,17.0,1.0,1.0
327,18.0,1.0,1.0
328,18.0,1.0,1.0
329,17.0,1.0,1.0
330,18.0,1.0,1.0
331,19.0,1.0,1.0
332,17.0,1.0,1.0
333,18.0,1.0,1.0
334,18.0,1.0,1.0
335,17.0,1.0,1.0
336,19.0,1.0,1.0
337,18.0,1.0,1.0
338,18.0,1.0,1.0
339,17.0,1.0,1.0
340,18.0,1.0,1.0
341,17.0,1.0,1.0
342,18.0,1.0,1.0
343,19.0,1.0,1.0
344,18.0,1.0,1.0
345,18.0,1.0,1.0
346,18.0,1.0,1.0
347,18.0,1.0,1.0
348,17.0,1.0,1.0
349,17.0,1.0,1.0
350,18.0,1.0,1.0
351,18.0,1.0,1.0
352,18.0,1.0,1.0
353,18.0,1.0,1.0
354,18.0,1.0,1.0
355,18.0,1.0,1.0
356,17.0,1.0,1.0
357,17.0,1.0,1.0
358,19.0,1.0,1.0
359,17.0,1.0,1.0
360,18.0,1.0,1.0
361,17.0,1.0,1.0
362,18.0,1.0,1.0
363,17.0,1.0,1.0
364,18.0,1.0,1.0
365,18.0,1.0,1.0
366,18.0,1.0,1.0
367,18.0,1.0,1.0
368,18.0,1.0,1.0
369,19.0,1.0,1.0
370,17.0,1.0,1.0
371,17.0,1.0,1.0
372,17.0,1.0,1.0
373,17.0,1.0,1.0
374,17.0,1.0,1.0
375,18.0,1.0,1.0
376,18.0,1.0,1.0
377,18.0,1.0,1.0
378,18.0,1.0,1.0
379,18.0,1.0,1.0
380,18.0,1.0,1.0
381,18.0,1.0,1.0
382,19.0,1.0,1.0
383,18.0,1.0,1.0
384,18.0,1.0,1.0
385,18.0,1.0,1.0
386,18.0,1.0,1.0
387,17.0,1.0,1.0
388,18.0,1.0,1.0
389,18.0,1.0,1.0
390,17.0,1.0,1.0
391,19.0,1.0,1.0
392,18.0,1.0,1.0
393,18.0,1.0,1.0
394,17.0,1.0,1.0
395,17.0,1.0,1.0
396,17.0,1.0,1.0
397,18.0,1.0,1.0
398,17.0,1.0,1.0
399,18.0,1.0,1.0
400,18.0,1.0,1.0
401,18.0,1.0,1.0
402,18.0,1.0,1.0
403,18.0,1.0,1.0
404,17.0,1.0,1.0
405,17.0,1.0,1.0
406,18.0,1.0,1.0
407,18.0,1.0,1.0
408,18.0,1.0,1.0
